,lable
0, Slovenia Interim Agreement
1,European Free Trade Association (EFTA)
2, Slovenia Europe Agreement
3, Former Yugoslav Republic of Macedonia
4,Second Convention of Lomé
5,Global System of Trade Preferences among Developing Countries (GSTP)
6, Switzerland
7,Faeroe Islands 
8,East African Community (EAC) 
9, Honduras 
10,Central European Free Trade Agreement (CEFTA) 
11,Gulf Cooperation Council (GCC)
12,European Economic Area (EEA)
13, Malaysia
14,MERCOSUR 
15,Common Economic Zone (CEZ)
16, Papua New Guinea (PATCRA)
17,Southern African Development Community (SADC)
18,Singapore 
19, Latvia
20, Faroe Islands
21,Costa Rica 
22,Protocol on Trade Negotiations (PTN)
23, Central America (Costa Rica and Panama)
24, Estonia
25,Caribbean Free Trade Association (CARIFTA)
26,Moldova 
27, China
28," Macao, China"
29,Malaysia 
30, Panama
31, Accession of Croatia
32,Poland 
33, Palestinian Authority
34,Andean Community (CAN)
35,Finland 
36,Pan
37, Slovak Republic Customs Union
38,Eurasian Economic Community (EAEC)
39, Bulgaria Free Trade Agreement
40, Oman
41,Southern Common Market (MERCOSUR)
42, Slovenia
43, Switzerland Free Trade Agreement
44, South Africa
45," Moldova, Republic of"
46, Israel
47, US
48,Lithuania 
49,First Convention of Lomé
50,Third Convention of Lomé
51, Philippines
52, Jordan
53, Belarus 
54, Accession of Burundi and Rwanda
55, Lithuania
56, Ukraine
57,Czech Republic 
58, Australia 
59,Slovenia 
60, Estonia Protocol
61, India
62,Israel 
63, Romania Free Trade Agreement
64, Slovenia Free Trade Agreement
65,EC Treaty
66, San Marino
67, Faeroe Islands
68,Asia Pacific Trade Agreement (APTA)
69,Japan 
70,New Zealand 
71, Lebanon Cooperation Agreement
72, Cyprus Association Agreement
73,EFTA 
74, GCC
75, Cameroon Association
76, Japan
77, Accession of Armenia
78,Economic and Monetary Community of Central Africa (CEMAC)
79, Nicaragua Free Trade Area
80, Cuba
81,Gulf Cooperation Council (GCC) 
82, Switzerland Free
83, Mauritius
84, Afghanistan
85, Latvia 
86,EU – Overseas Countries and Territories (OCT)
87, Spain Agreement
88,Colombia 
89, Hungary Europe Agreement
90, Egypt Agreement of 1972
91,Tripartite Agreement
92, Accession of Slovenia
93,India 
94, Croatia
95, Peru
96, Costa Rica
97, Norway Free Trade Agreement
98, Honduras
99,Nicaragua 
100, Mexico
101,Peru 
